ilac,yorum,kaynak,yan_etki,kategori
apranax,"alkol ile alinabilen nadide agri kesicilerden, hem basi agriyip hemde alabildigine icmek isteyenler icin",eksisozluk,0,yok
apranax,mutelif gerzeklere viagra die yutturulan yegane mavi ilac,eksisozluk,0,yok
apranax,sağlam ilaç.. yannıs sanrım vitaminle beraber alınmalıki dumur etmesin.. yoksa bazen ayakta duramıyabilosunuz ağrım bitsin derken.. (bkz:  pilava giderken elindeki bulgurdan olmak ) (bkz:  herneyse ),eksisozluk,0,yok
apranax,"cok muthis agri kesici.. bi tane al, bes saat agrin sizin dinsin. apranax fort daha iyi",eksisozluk,0,yok
apranax,doktorumun ulser teshisi koyduktan sonra yakin zamanda alip almadigimi sordugu ilac. forte'unu almistim!!!,eksisozluk,1,sindirim
apranax,"aspirin ve turevi ilaclara reaksiyon gosterenlerde,aktif mide ve duodenum ulseri bulunan kisilerde,hamilelerde kullanilmamalidir.bobrek ve karaciger fonksiyon bozuklugu olan ayrica kalp rahatsizligi bulunan kisilerde de dikkatle kullanilmalidir.ayrica (bkz:  aprol ) (bkz:  aprowell )",eksisozluk,1,sindirim
apranax,uretici firmanin en sevdigi hekimler dis hekimleridir,eksisozluk,0,yok
apranax,yorucu bedensel aktivite sonrasi yasanan kas agrilarini hafifletebilen ilactir kendisi.,eksisozluk,0,yok
apranax,"abdi ibrahim ilaç firması tarafından üretilmis, naproksen sodyum oranı 275 mg olan tablet ve 550 mg olan fort tabletler halinde satılan süperr agrı kesici.  regl donemi nde bire bir dir.",eksisozluk,0,yok
apranax,"mide ph'ını şaşılacak ölçüde düşüren, mide yakan hede....",eksisozluk,1,sindirim
majezik,"bas, dis, karin agrisina gayet iyi gelen bir  sanovel  urunu ilac.",eksisozluk,0,yok
majezik,"endikasyonlar : çeşitli nedenlere bağlı baş ve diş ağrıları, nevraljiler, adet sancıları, romatoid artrit, osteoartrit, ankilozan spondilit, akut gut artriti, eklem romatizmaları, artrozlar, lumbago ve şiddetli radikülaljilerin akut ve uzun süreli semptomatik tedavileri, çeşitli cerrahi operasyonlar, yumuşak doku travmalarına bağlı ağrı ve enflamatuar semptomların giderilmesi, k.b.b. ve stomatolojik rahatsızlıklardaki ağrı ve enflamasyonun giderilmesinde endikedir. kontrendikasyonlar : flurbiprofen'e karşı aşırı duyarlılığı olan kişilerde kontrendikedir. flurbiprofen, aspirin ve diğer nonsteroidal antienflamatuar ilaçların astım, ürtiker veya diğer allerjik reaksiyonlara yol açtığı bilinen kişilerde kontrendikedir. yan etkiler : flurbiprofen tedavisi ile seyrek olarak görülen yan etkiler hafif şiddette, doza bağlı ve geçicidir. dispepsi, bulantı, kusma, abdominal ağrı, gaz şikayetleri, diyare, konstipasyon, ürtiker, baş dönmesi, sinirlilik, kulak çınlaması, bulanık görme, rinit, vücut ağırlığı değişimleri gibi yan etkiler görülebilir.  dozaj : tavsiye edilen günlük doz : bölünmüş dozlar halinde 150 mg - 200 mg'dır. semptomların şiddetine göre günlük doz toplam 300 mg'a çıkarılabilir. adet sancılarında, semptomların başlangıcında 100 mg, bunu takiben 4-6 saatte bir 50 mg - 100 mg'dır. maksimum günlük doz ise, 300 mg'dır.",eksisozluk,1,sindirim
majezik,"en kucuk bir agrida, hemen basvurdugum  basucu  ilaci..",eksisozluk,0,yok
majezik,regl in kesin cozumu majezik arayan bir kadin gordumuzde  regl  oldugunu annamamizi saglayan ilac..  *,eksisozluk,0,yok
majezik,ağrıdan başını duvarlara vurma noktasına gelenler için en iyi ilaç.yarım saat içinde en dayanılmaz ağrıdan kurtarıyor kıvranan bünyeyi...diğer ağrı kesicilere oranla biraz pahalı ama migren benzeri ağrılarda bile başarılı olduğu düşünülürse kesinlikle fiyatını hak ediyor.,eksisozluk,0,yok
majezik,orta etkide bir  analjezik . yan etkisinin neredeyse hiç olmaması da bu orta etkililiğinden kaynak alıyor. unutulmamalıdır ki gerçekten etkili olan  ilacın çoğu zaman yan etkisi de olur. etkili bir analjezik için: (bkz:  apranax fort ) *,eksisozluk,0,yok
majezik,"genelde mide problemi(gastrit,ülser) yaşayan ademoğulları, her painkiller ı öyle kolay alamazlar.(misal;vermidon) bu tarz mide problemi olanların çekinmeden kullanabileceği süper bi ağrı kesicidir. 100 mg lık 20 tabletten oluşan kutucuklar halinde satılan şekli en yaygınıdır. fiyatı da sanırım 12-13 ytl civarlarındadır.",eksisozluk,1,sindirim
majezik,regl sancısı için süper bir ağrı kesici...  kısa zamanda kesin çözüm getiren tek ilaç sanırım... buscopan falan yalan!!,eksisozluk,0,yok
majezik,regl sancısını geçiriyor geçirmesine de regl son ürünlerinin daha sulu ve daha fazla olmasına neden oluyor diyor hatunlar ben onların yalancısıyım...,eksisozluk,0,yok
parol,özellikle  baş ağrısı  için tavsiye edilir.  mide ülseri olanların da rahatlıkla kullandığı ağrı kesicilerdendir. (bkz:  gripin ),eksisozluk,1,sindirim
parol,"şu sıralar eczanelerden pek alınmaması gereken ağrı kesici. ""kıl"" içermekteymiş ve halen emir olmasına rağmen piyasadan çekilmemiş.  http://www.beo.org.tr/…e=news&file=article&sid=1307",eksisozluk,0,yok
parol,ağrıyan  yirmi yaş dişi me  hele otur bi soluklan yiğenim  diyen ilaç. *  belki de psikolojiktir bilemem.,eksisozluk,0,yok
parol,"alkolle etkileşimini henüz görmediğim, akşam edit yapabilirsem bana bişey yapmadığını söyleyebileceğim ilaç. edit: rahatça içiniz. postedit: ilk editimi akşamına yapmışım, kafam hala güzelmiş herhalde. yazılır mı böyle şey. düzeltiyorum: ben öldüm, siz de içip ölmeyin.",eksisozluk,0,yok
parol,"migren tedavisinde atak gelmeden önce iki tane alınması doktor tarafından tavsiye edilen ağrı kesici,ateş düşürücü",eksisozluk,0,yok
